FIPS,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,repgov14,demgov14,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,Density,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThous,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismperThou,OrthodoxJudaismAdherents,OrthodoxJudaismperThousand,ReconstructionistJudaism,ReconstructionismJudaismperThou,ReformJudaismAdherents,ReformJudaismperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand
29085,3542,1016,166,2835,1733,112,1490,2959,253,994,3434,185,.,.,95.52174382,0.151073702,1.3920,4.478256178,0.636667746,51.19240315,26.01704975,32.14632567,33113,11.63895487,18.23250627,90.18678561,17.65982065,89.94793173,100,8,23,26,3700.00,384.34,2639.00,274.12,.,.,831.00,86.32,230.00,23.89,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29087,1926,347,82,1725,551,34,629,1614,90,331,1921,63,.,.,96.51752259,0.396737933,0.1984,3.482477408,0.396737933,49.87877452,31.36433767,22.48181618,41017,4.549509367,9.626307922,79.9103139,9.300893132,79.95072374,100,8,10,34,3671.00,747.35,1871.00,380.90,.,.,1568.00,319.22,50.00,10.18,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29089,3277,1283,308,3017,1723,127,1928,2671,235,1300,3131,255,.,.,90.80607016,5.202995664,1.3697,9.193929838,0.82774931,49.99014584,40.61884115,16.69294442,45762,4.586973789,11.72707889,74.68778556,10.74231524,73.54480052,64.05757098,6,22,31,5078.00,500.59,2224.00,219.24,120.00,11.83,1824.00,179.81,790.00,77.88,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29091,13893,2881,681,11544,4395,407,4375,12070,894,2776,13665,505,.,.,94.71252949,0.30547622,1.9570,5.287470508,1.512479821,51.28026822,38.35092512,18.66136843,33964,6.754146785,15.26420225,85.62504593,14.51390485,85.9457596,72.17326733,7,43,93,17034.00,421.63,13507.00,334.33,186.00,4.60,1354.00,33.51,1180.00,29.21,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29093,3173,933,163,2252,1669,110,1671,2329,227,1109,2896,118,.,.,94.40313112,1.898238748,1.7221,5.596868885,0.557729941,50.3816047,33.87475538,18.85518591,36354,10.33760186,19.17619507,88.62102218,18.83953118,89.14773549,74.85418627,7,18,35,4840.00,455.32,4031.00,379.21,.,.,454.00,42.71,354.00,33.30,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29095,91557,71237,10481,93199,78283,3282,85664,77941,9071,74182,90730,5610,.,.,62.66604061,23.53099498,8.6854,37.33395939,5.500092885,51.63235782,40.63860816,13.54595893,48104,6.69248627,10.17399184,70.57342377,6.401485034,64.89426505,3.836934369,1,1138,812,355967.00,528.02,154390.00,229.01,34722.00,51.50,61299.00,90.93,69441.00,103.00,1235.00,1.83,2614.00,3.88,.,.,60.00,0.09,.,.,759.00,1.13,819.00,1.22
29097,35070,10572,2684,31349,12809,1060,13799,32123,2492,11681,33755,2218,.,.,84.95433479,2.071121865,7.5578,15.04566521,4.099645583,51.28987186,42.18409215,13.82906216,42648,6.013658996,12.96802692,77.94357383,10.36835329,77.13664146,23.69169705,3,186,209,67991.00,579.12,50313.00,428.55,502.00,4.28,8100.00,68.99,6024.00,51.31,.,.,60.00,0.51,.,.,.,.,.,.,92.00,0.78,92.00,0.78
29099,69036,31568,5634,53978,41564,2069,46975,53218,5517,34030,63490,4673,.,.,94.77912188,0.963349561,1.7775,5.220878118,1.590448319,50.28163252,38.20762139,13.29404414,58232,7.357309796,12.543236,81.56873119,12.40360827,81.56790319,30.19617525,1,341,162,79939.00,365.46,40846.00,186.74,496.00,2.27,6917.00,31.62,30495.00,139.42,260.00,1.19,.,.,.,.,.,.,.,.,.,., .   ,0.00
29101,13719,5930,1483,12763,7667,591,8315,11611,1230,5584,14102,1167,.,.,86.44821037,4.442272585,3.8983,13.55178963,2.673846097,48.45562337,50.22958196,11.67456527,48977,7.265072805,8.596920698,72.20898022,8.088761632,72.85969936,50.44395855,4,65,81,20354.00,386.99,13562.00,257.86,335.00,6.37,2991.00,56.87,1815.00,34.51,.,.,308.00,5.86,.,.,.,.,.,.,.,., .   ,0.00
29103,1416,379,75,1205,698,54,558,1208,59,317,1425,35,.,.,96.49737303,0.350262697,0.9757,3.50262697,1.025769327,49.33700275,36.67750813,20.59044283,38816,6.082589286,13.81724392,84.48784083,13.78012048,84.48795181,100,9,8,21,2371.00,573.95,1413.00,342.05,.,.,508.00,122.97,450.00,108.93,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
