FIPS,CountyPopulation,ClintonorTrumpState,Clinton,Trump,Total,PCTClinton,PCTTrump,PercentDifferenceC_T,PercentDifferenceT_C,Obama,Romney,2012TotalVotes,PCTObama,PCTRomney,VoteDifferenceO_R,PCTDifferenceO_R,ClintonBreakwithObama,TrumpbreakwithRomney,2010LandArea,Density,CBSACode,CSACode,CBSATitle,CBSAPopulation,Metropolitan_MicropolitanStatisticalArea,Central_OutlyingCounty,POP2010,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThousand,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,Baha'IAdherents,Baha'IAdherentsperThousand,"Buddhism,MahayanaAdherents","Buddhism,MahayanaAdherentsperThousand","Buddhism,TheravadaAdherents","Buddhism,TheravadaAdherentsperThousand","Buddhism,VajrayanaAdherents","Buddhism,VajrayanaAdherentsperThousand",TotalBuddhistAdherents,TotalBuddhistAdherentsperThousand,LatterDaySaintsAdherents,LatterDaySaintsAdherentsperThousand,Indian-AmericanHinduAdherents,Indian-AmericanHinduAdherentsperThousand,PostRenaissanceHinduAdherents,PostRenaissanceHinduAdherentsperThousand,RenaissanceHinduAdherents,RenaissanceHinduAdherentsperThousand,TraditionalHinduTemplesAdherents,TraditionalHinduTemplesAdherentsperThousand,TotalHinduAdherents,TotalHindusAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismAdherentsperThousand,OrthodoxJudaismAdherents,OrthodoxJudaismAdherentsperThousand,ReconstructionistJudaismAdherents,ReconstructionismJudaismAdherentsperThousand,ReformJudaismAdherents,ReformJudaismAdherentsperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand,UnitarianUniversalistAdherents,UnitarianUniversalistAdherentsperThousand,ZoroastrianAdherents,ZoroastrianAdherentsperThousand
38071,"11,630",Trump,"1,505","3,216","5,218",0.2884,0.6163,-0.3279,0.3279,"2,162","2,659","4,971",0.4349,0.5349,-497,-0.1,-657,557,1187,10,,,,,,"Not Metro or Micro, Presumed Rural",11451,27,"6,860",599.07,616,53.79,,,"3,671",320.58,"2,439",212.99,,,7,0.61,,,,,,, -   ,0,127,11.09,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38073,"5,448",Trump,836,"1,209","2,317",0.3608,0.5218,-0.161,0.161,"1,341","1,008","2,412",0.556,0.4179,333,0.1381,-505,201,862,6,,,,,,"Not Metro or Micro, Presumed Rural",5457,21,"4,604",843.69,550,100.79,,,"3,213",588.79,839,153.75,,,2,0.37,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38075,"2,571",Trump,200,978,"1,255",0.1594,0.7793,-0.6199,0.6199,398,850,"1,272",0.3129,0.6682,-452,-0.3553,-198,128,877,3,33500,,"Minot, ND",,Micropolitan Statistical Area,Outlying,2470,15,"2,332",944.13,176,71.26,,,"1,733",701.62,423,171.26,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38077,"16,402",Trump,"2,064","4,759","7,460",0.2767,0.6379,-0.3613,0.3613,"3,190","4,213","7,549",0.4226,0.5581,"-1,023",-0.1355,"-1,126",546,1436,11,47420,244,"Wahpeton, ND-MN",,Micropolitan Statistical Area,Central,16321,45,"11,755",720.24,"2,842",174.13,,,"4,345",266.22,"4,423",271,,,2,0.12,,,,,,, -   ,0,143,8.76,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38079,"14,649",Trump,"2,097","1,210","3,662",0.5726,0.3304,0.2422,-0.2422,"3,351","1,090","4,528",0.7401,0.2407,"2,261",0.4993,"-1,254",120,903,16,,,,,,"Not Metro or Micro, Presumed Rural",13937,25,"16,239",1165.17,842,60.41,,,"1,339",96.08,"13,931",999.57,,,26,1.87,,,,,,, -   ,0,101,7.25,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38081,"3,876",Trump,693,"1,088","1,978",0.3504,0.5501,-0.1997,0.1997,"1,073",876,"1,987",0.54,0.4409,197,0.0991,-380,212,859,5,,,,,,"Not Metro or Micro, Presumed Rural",3829,17,"3,495",912.77,388,101.33,,,"2,317",605.12,790,206.32,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38083,"1,310",Trump,94,644,774,0.1214,0.832,-0.7106,0.7106,161,637,808,0.1993,0.7884,-476,-0.5891,-67,7,972,1,,,,,,"Not Metro or Micro, Presumed Rural",1321,14,"1,131",856.17,501,379.26,,,600,454.2,30,22.71,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38085,"4,370",Trump,758,256,"1,177",0.644,0.2175,0.4265,-0.4265,900,223,"1,138",0.7909,0.196,677,0.5949,-142,33,1094,4,13900,,"Bismarck, ND","129,517",Metropolitan Statistical Area,Outlying,4153,11,"3,168",762.82,98,23.6,,,431,103.78,"2,161",520.35,,,36,8.67,,,,,,, -   ,0,442,106.43,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38087,767,Trump,42,361,427,0.0984,0.8454,-0.7471,0.7471,83,341,434,0.1912,0.7857,-258,-0.5945,-41,20,1215,1,,,,,,"Not Metro or Micro, Presumed Rural",727,2,222,305.36,,,,,178,244.84,44,60.52,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
38089,"32,154",Trump,"1,745","9,718","12,115",0.144,0.8021,-0.6581,0.6581,"2,805","8,509","11,539",0.2431,0.7374,"-5,704",-0.4943,"-1,060","1,209",1335,24,19860,,"Dickinson, ND",,Micropolitan Statistical Area,Central,24199,43,"17,249",712.8,"1,949",80.54,,,"2,811",116.16,"12,110",500.43,,,3,0.12,,,,,,, -   ,0,376,15.54,,,,,,,,, -   ,0,,,,,,,,,,, -   ,0,,,,
